row_id,teamAttack,teamDefense,date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME,game_id,retainedPosession,lostPosession,map_dic,time,outcome_score,related_score,team_scored,passRuckRatio,nextOrigin,play,time_bin
5141,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Free-kick,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,5,6.33,0.8597704440019482,26,ITA,,Lineout,Kick for Touch,5.0
5142,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,4.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Win,0,0.0,1.0,6,7.03,-1.0606799333644712,26,ITA,1.3333333333333333,Penalty,Pick and Go Short,5.0
5143,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,7,7.3,1.1501704503128032,26,ITA,,Lineout,Kick for Touch,5.0
5144,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Opp 22,Lineout,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,6,7.74,1.312469069427282,26,ITA,1.0,Scrum,Pick and Go Short,10.0
5145,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Scrum,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,4,7.74,-1.312469069427282,26,ITA,,Penalty,,10.0
5146,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win,0,1.0,0.0,7,8.01,-1.423203261531003,26,ITA,,Lineout,Kick for Touch,10.0
5147,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Lineout,1,4.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win,0,0.0,1.0,6,8.89,-1.8531930959069154,26,ITA,1.0,Kick fielded,Pick and Go Short,10.0
5148,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 22,Kick fielded,1,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lose,0,0.0,1.0,2,9.07,1.9560167775498514,26,ITA,0.0,Scrum,,10.0
5149,FRA,ITA,2022-02-05,Elite Men International,6 Nations 2022,Opp 50,Scrum,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Win,0,0.0,1.0,4,9.07,-1.9560167775498514,26,ITA,,Penalty,,10.0
5150,ITA,FRA,2022-02-05,Elite Men International,6 Nations 2022,Own 50,Penalty,1,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lose,0,1.0,0.0,7,9.34,2.1210476667713576,26,ITA,,Lineout,Kick for Touch,10.0
