Attack Team,Defense team,Date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Static,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,2,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,3,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,3,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Turnover,1,5,2,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Free-kick,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,5,2,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Restart,1,5,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Lineout,1,6,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,3,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,7,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,8,5,,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,1,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Turnover,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,2,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Turnover,1,7,3,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Penalty,1,15,14,,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,2,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,2,3,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Turnover,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Turnover,1,1,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Lineout,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Turnover,1,2,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Turnover,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,19,8,,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Turnover,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,8,5,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Penalty,1,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Lineout,1,7,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,3,3,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,5,4,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,3,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Penalty,1,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,6,3,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Scrum,1,5,2,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Turnover,1,3,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,7,4,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Scrum,1,5,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,7,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Lineout,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,4,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Turnover,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,6,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,3,3,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,5,4,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Penalty,1,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Lineout,1,13,5,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Penalty,1,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,9,2,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,11,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Penalty,1,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Lineout,1,2,2,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Lineout,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Free-kick,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,13,5,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,2,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,12,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Penalty,1,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lose
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 22,Lineout,1,8,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,2,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,7,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Opp 50,Turnover,1,11,8,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lose
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Opp 50,Penalty,1,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,6,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Opp 22,Lineout,1,7,10,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,2,,,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Win
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,3,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,13,6,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lose
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Opp 50,Penalty,1,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lose
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Restart,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,4,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
FRA,IRE,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,4,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
IRE,FRA,2/12/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
